taxon,scp_h,scp_lat,flws_n,spt_long,spt_lat,ped_long,ped_lat,ov_long,ov_lat,perig_form,perig_long,perig_diam,tub_lat,tep1_long,tep1_lat,tep3_long,tep3_lat,color,fil1_long,fil2_long,ant_long,est_long,est_form,coron_typ
P1_Phycella_cyrtanthoides_P001_WA1,52,10,7,35,10,30,1.8,9,5,0,40,17,4,42,10,38,12,0,42,37,3,41,0,1
P1_Phycella_cyrtanthoides_P001_WB1,46,10,4,45,10,22,2,9,4,0,48,21,5,49,9,47,11,0,41,38,3,43,0,1
P1_Phycella_cyrtanthoides_P001_WC1,40,6,4,28,7,18,1.5,6,4,0,48,28,4,45,9,45,11,0,44,38,3,48,0,1
P2_Phycella_cyrtanthoides_P001_WD1,80,18,6,43,11,53,3,9,5,0,66,25,6,78,14,78,15,0,67,60,3,80,0,0
P2_Phycella_cyrtanthoides_P001_WE1,60,12,4,40,9,69,2.5,10,7,0,72,20,5.5,76,15,74,16,0,71,65,4,85,0,0
P2_Phycella_cyrtanthoides_P001_WF1,53,9,4,40,8,64,3,8,4.5,0,65,29,4.5,72,10,67,10.5,0,63,55,3,80,0,0
P3_Phycella_cyrtanthoides_P001_WG1,59,7,7,36.5,8,22,21.5,8,4,0,38.5,14,5,37,10,40,13,0,45,38,4,39,0,1
P3_Phycella_cyrtanthoides_P001_WH1,45,7,4,30,8,20,2,5.5,4.5,0,45,8,4,45.5,12,46,14.5,0,46,39,4,52,0,1
P3_Phycella_cyrtanthoides_P001_WA2,52,8,6,39,9,23,2,9,4.5,0,61,19,5,60,10,59,13,0,55,49,4,61,0,1
P4_Phycella_cyrtanthoides_P001_WB2,77,,7,30,10,29,2,8,5,0,47,15,3.8,47,11,47,11.5,0,48,43,4.5,50,0,1
P4_Phycella_cyrtanthoides_P001_WC2,38,7,3,35,6,27,2,7,4,0,50,,4,52.5,9,50,13,0,49,43,4,51,0,0
P4_Phycella_cyrtanthoides_P001_WD2,43,6,4,31,9,28,2,7.5,4.5,0,43,22,4.5,48,9,32.5,13,0,46,39,3,48,0,0
P5_Phycella_cyrtanthoides_P001_WG2,55,6,4,29,7,31,2,4,4,0,57,15,4,55,10,55,9,0,47,42,3,48,0,0
P5_Phycella_cyrtanthoides_P001_WH2,72,9,6,30,9,30,2,6,4,0,45,11,5,45.5,9.5,45.5,9.5,0,47,42,2.5,45,0,1
P6_Phycella_scarlatina_P001_WA3,25,5,2,36,5,43,2,9,5.5,0,48,22,4,53,10,52.5,10.5,0,61.5,58,3,66,0,0
P6_Phycella_scarlatina_P001_WB3,35,5,4,34,8,28,2,10,6,0,56,23,5,58.5,8.5,60.5,9.5,0,61,56,3,78,0,0
P8_Phycella_amoena_P001_WA4,20,5.5,6,24,7,22,2,6,3,1,16,30,2.5,27,7,27,8,1,25,19,3,28,1,3
P8_Phycella_amoena_P001_WB4,17,4.5,4,30,5.5,34,2,6,3,1,18,40,3,33,9,33,10,1,25,20,3,30,1,3
P8_Phycella_amoena_P001_WC4,19,4,4,30,5,25,1.5,5,3,1,13,28,3,29,6.5,27,7,1,21,15,3,26.5,1,3
P9_Phycella_amoena_P001_WD4,35,6.5,5,40,6,42,2,7,3.5,1,22,40,2.5,37,9.5,36,9.5,1,26,21,3,37,1,3
P9_Phycella_amoena_P001_WE4,20,5,4,38,4.5,43,2,7,3,1,19,40,2.8,33,8,32,9.5,1,25,19,3,28,1,3
P9_Phycella_amoena_P001_WF4,33,6,5,36,6,33,2.5,8,4.5,1,22,44,4,40,9,40,11,1,25,22,3,32,1,3
P10_Phycella_amoena_P001_WG4,28,5.5,5,,,45,2.5,7,4,1,20,48,3,38.5,10,40,10.5,1,24,18,2.5,29,1,3
P10_Phycella_amoena_P001_WH4,29,4,3,,,31,1.8,5,3,1,16,38,2,30,8,29,8,1,20.5,16.5,2,26,1,3
P10_Phycella_amoena_P001_WA5,38,5,6,33,7,24,1.8,9,3.5,1,17,36,3,31,9,32,9,1,22,17,2.5,31,1,3
P11_Phycella_ornata_P001_WB5,37,6,5,46,7,50,2,7,3,1,20,48,3,43,8.5,42,9,2,22,18,2.5,29,1,3
P11_Phycella_ornata_P001_WC5,20,5,5,,,35,2,7,3,1,25,40,2.5,34,10,33,11,2,24,19,,31,1,3
P11_Phycella_ornata_P001_WD5,20,6,6,,,35,2,7,3,1,30,40,2,36,10,37,12,2,28,23,,36,1,3
P12_Phycella_ornata_P001_WE5,20,6,6,,,51,2,7,4.5,1,23,50,2.5,41,12,40,13,2,26,20,,33,1,3
P12_Phycella_ornata_P001_WF5,23,5,5,,,38,2,7,4,1,23,25,2.5,36,9,36,9,2,26,21,,34,1,3
P12_Phycella_ornata_P001_WG5,28,7,6,,,36,2,7,4,1,20,44,3,36,9,37,11,2,23,18,,25,1,3
P13_Phycella_lutea_P001_WH5,45,5.5,4,28,6,55,2,8,4,1,15,38,2.8,35,8,34,8,3,27,21,3,30,1,3
P13_Phycella_lutea_P001_WA6,35,5,4,,,40,2,6,4,1,13,33,2.5,29,9,25,10,3,23,18,2.8,28,1,3
P14_Phycella_ornata_P001_WB6,44,7,6,,,40,2.5,6,5,1,26,60,3,45,12,45,13.5,2,30,25,2.5,39,1,4
P14_Phycella_ornata_P001_WC6,25,4.5,4,,,38,2,5.5,3.5,1,18,45,2.5,38,10,38,9,2,25,21,2.5,32,1,4
P14_Phycella_ornata_P001_WD6,26,6,8,,,49,2,8,4,1,27,60,3,43,7,42,10.5,2,28,21,,35,1,4
P14_Phycella_ornata_P001_WE6,48,6,6,,,35,2.5,7,4,1,30,60,3,50,12.5,50,13,2,31,25,,35,1,4
P15_Phycella_angustifolia_P001_WF6,40,5.5,2,35,6,29,2.5,10,4.8,0,60,19,5,63,7,62,6.5,0,67,61,,73,0,0
P15_Phycella_angustifolia_P001_WG6,43,7,3,39,,23,3,9.5,4.5,0,60,20,5,64,7,64,7.5,0,65,59,,70.5,0,0
P15_Phycella_angustifolia_P001_WH6,30,6,2,55,6,56,2.5,14,5,0,65,17,5,67,6.5,65.5,7,0,67,61,3.5,74,0,0
P15_Phycella_angustifolia_P001_WA7,30,6,2,55,6,56,2.5,14,5,0,65,17,5,67,6.5,65.5,7,0,67,61,3.5,74,0,0
P17_Phycella_arzae_P001_WE7,20,6.5,6,,,37,3,10,5,1,28,60,3,50,15,49,15.5,2,29,23,3,38,1,2
P17_Phycella_arzae_P001_WF7,30,6,6,,,56,3,10,4,1,45,50,3,52,13,52,14,2,31,27,3,45,1,2
P17_Phycella_arzae_P001_WG7,25,6,5,31,9,37,2.5,7.5,3.5,1,30,55,3.5,50,12,49,13,2,30,25,2.5,38,1,2
P18_Phycella_davidii_P001_WH7,14,4,3,25,5,26,18,6,4,1,23,46,3,37,10,37.5,10.5,4,22,17,2,31,1,5
P18_Phycella_davidii_P001_WA8,9,3.5,2,,,21,2,6,3.2,1,15,45,3,39,10,37.5,12,4,23,17,,27,1,5
P18_Phycella_davidii_P001_WB8,5,4,2,33,6,30,2,6.5,3.5,1,12,35,3,35,10,34,12,4,22,17,3,30,1,5
P18_Phycella_davidii_P001_WC8,8.5,4,4,35,7,21,2,7,,1,15,40,2.5,44,8,43,8.5,4,19,14,2.5,26,1,5
P19_Phycella_arzae_P001_WE8,33,5,3,,,30,2,6,3,1,18,48,3,39,9.5,36,12,2,28,22,,38,1,2
P19_Phycella_arzae_P001_WF8,27,4,5,29,7.5,33,1.5,5,3,1,18,46,2.5,31,8,29.5,9,2,22,19,2.5,30,1,2
P19_Phycella_arzae_P001_WG8,25,5,5,,,49,2,9,4,1,22,50,3,43,9,42,10,2,30,23,3.5,39,1,2
P20_Phycella_quilapilun_P001_WH8,28,4.5,6,,,47,2,8,4.5,1,13,44,3,34,7,34,8,2,25,18,2,31,1,5
P20_Phycella_quilapilun_P001_WA9,10,3.5,4,25,7,26,1.5,6,3.5,1,13,48,2.5,31.5,7.5,31.5,8,2,25,20,2.5,30,1,5
P20_Phycella_quilapilun_P001_WB9,12,3.5,4,,,34,1.8,6,3,1,20,53,2,37,6.5,35.5,7,2,26,20,1.5,32,1,5
P20_Phycella_quilapilun_P001_WC9,26,6,6,,,50,2.5,10,4,1,12,40,2.5,39.5,9,39,9,2,28,22,2,30,1,5
P21_Phycella_cyrtanthoides_P002_WA01,45,,5,,,27,1.5,6,4,0,46,9,3.5,47,9.5,46,11,0,40,36,4,33,0,1
P21_Phycella_cyrtanthoides_P002_WB01,35,5,4,,,15,2,7,4,0,42,9,4,48,10,42,11,0,41,38,4,47,0,1
P22_Phycella_cyrtanthoides_P002_WD01,76,9,7,30,5,48,1,10,7,0,56,15,4.5,54,11,53,12,0,55,52,3,65,0,0
P23_Phycella_cyrtanthoides_P002_WF01,75,7,6,,,21,2,11,5,0,60,10,4.5,59,15,61,12,0,51,46,4.5,68,0,0
P23_Phycella_cyrtanthoides_P002_WG01,45,4,3,,,36,2,8,5,0,52,9,5,62,16,62,13,0,53,48,4,58,0,0
P24_Phycella_cyrtanthoides_P002_WH01,66,5,4,,,40,2,8,4,0,65,11,4,65,13,68,13,0,58,53,4,75,0,0
P24_Phycella_cyrtanthoides_P002_WA02,44,4,4,,,45,,,,0,65,13,4,71,15,72,14,0,61,58,4,77,0,0
P25_Phycella_cyrtanthoides_P002_WC02,41,5,6,50,14,24,2,9,4,0,52,19,7,54,13,57,11,0,48,45,3.5,58,0,0
P25_Phycella_cyrtanthoides_P002_WD02,28,3,4,,,,,,,0,50,11,4,55,14,54,13,0,48,44,4,58,0,0
P26_Phycella_cyrtanthoides_P002_WE02,47,6,4,40,,17,3,11,6,0,61,9,4.5,62.5,12,61,12.5,0,57,51,4.5,64,0,0
P26_Phycella_cyrtanthoides_P002_WF02,56,5,4,,,45,2.5,9,5.5,0,63,9,6,64,15,64,13,0,57,50,,66,0,0
P27_Phycella_cyrtanthoides_P002_WH02,47,7,6,42,14,35,2,7,5,0,46,10,4,47,11,47,11.5,0,48,45,4,53,0,0
P27_Phycella_cyrtanthoides_P002_WA03,60,7,6,,,35,2,9,4,0,43,12,4,47,11.5,45,14.5,0,48,42,4,54,0,1
P28_Phycella_chilensis_P002_WC03,33,2.5,1,32,5,44,1,7,4,1,62,,3.5,62,,55,13,0,,,4,48,1,1
P30_Phycella_cyrtanthoides_P002_WG03,35,6.5,4,,,40,2,8,4,0,55,20,4,60,9,58,8.5,0,73,63,,76,0,0
P30_Phycella_cyrtanthoides_P002_WH03,58,6,4,44,5,60,3,9,5,0,63,27,,70,13,71,11,0,61,55,,72,0,0
P30_Phycella_cyrtanthoides_P002_WA04,60,6,4,,,50,2.5,9,5,0,62,11,4,64,13,62,12,0,62,56,,72,0,0
P31_Phycella_angustifolia_P002_WB04,35,3,2,45,5,45,1,10,3,0,68,20,4,68,9.5,,,0,,,2.5,78,0,0
P31_Phycella_angustifolia_P002_WC04,45,2,2,46,5,45,1,9,3,0,70,25,3,65,9,,,0,61,67,2.5,73,0,0
P32_Phycella_arzae_P002_WE04,31,6,6,25,,51,2.3,6,4,1,25,45,4,43,9,42,11.5,0,25,19,2,30,1,1
P33_Phycella_ornata_P002_WG04,18,7,7,,,31,2,6,3,1,20,43,2.5,30,10,30,11,2,23,18,,32,1,4
P33_Phycella_ornata_P002_WH04,30,7,7,,,48,2,7,3.5,1,15,45,3,30,12,29,12,2,23,18,,28,1,4
P33_Phycella_ornata_P002_WA05,36,5,11,46,9,47,2,7,3.5,1,25,60,3,40,9,39,11,2,25,19,,38,1,4
P34_Phycella_scarlatina_P002_WB05,15,3,1,27,5,31,2,9,5,0,56,31,4.5,57,8,57,7,0,50,48,3,70,0,0
P34_Phycella_scarlatina_P002_WC05,13.5,3,1,26,3,33,2,8,5.5,0,52,16,5,57,7,55,7,0,54,49,3,71,0,0
P35_Phycella_lutea_P002_WE05,28,6,4,40,6,26,2,5.5,4,1,30,37,3.5,35,8,33,9.5,3,20,14,3,29.5,1,2
P35_Phycella_lutea_P002_WF05,16,4.5,2,,,26,2,9,4,1,32,38,3,37,10.5,34.5,10,3,24,18,5.5,33,1,2
P36_Phycella_australis_P002_WH05,55,7,5,25,8,34,2,7,3.5,0,51,20,4,52,12,52,15,0,50,45,3,55,0,0
P36_Phycella_australis_P002_WA06,56,8,4,,,29,2.5,9,4.8,0,59,20,4.5,62,17,62,19,0,53,48,3,60,0,0
P36_Phycella_australis_P002_WB06,52,7,6,35,7,32,1.5,7,4.5,0,50,17,4,51.5,13,52,15,0,50,43,3,60,0,0
P38_Phycella_chilensis_P002_WE06,47,7,2,43,6,44,4,10,7,1,90,70,6,90,15,93,18,0,42,34,4,57,1,1
P38_Phycella_chilensis_P002_WF06,37,10,4,45,6,65,3,8.5,5,1,60,40,4.5,66,13,67,13.5,0,37,31,3,68,1,1
P39_Phycella_australis_P002_WG06,41,4,2,31,8,31,2.5,6,4.5,0,54,38,4,60,11,59,11,0,45,38,3,57,0,0
P39_Phycella_australis_P002_WH06,38,4,3,29,6,39,2,6,5,0,50,15,5,49,10,48,10,0,42,35,3,43,0,0
P40_Phycella_australis_P002_WB07,32,7,4,24,8,27,2.8,8,5,0,60,34,5,63,13,64,15,0,50,46,3,66,0,0
P40_Phycella_australis_P002_WC07,35,7,3,,,65,2,6,5,0,65,30,4,70,8,71,13,0,60,52,2,74,0,0
P41_Phycella_chilensis_P002_WE07,31,5,1,52,6,30,3,9,5,1,70,80,5.5,79,20,79,20,0,40,33,4,65,1,1
P41_Phycella_chilensis_P002_WF07,29,4.5,2,30,6,23,2,8,4,1,52.5,78,4,75,17,73,19,0,41,32,4,63,1,1
P41_Phycella_chilensis_P002_WG07,51,5,2,42,6,24,2.5,7,4,1,55,65,4,71,17,70,19,0,38,34,4,63,1,1
P43_Phycella_chilensis_P002_WB08,32,5,2,38,7,41,3,8,5.5,1,65,70,5,78,20,80,19,0,42,35,5.5,62,1,1
P43_Phycella_chilensis_P002_WC08,15,8,2,50,,42,3,7,4.8,1,50,,,65,16,66,16,0,40,34,5,61,1,1
P45_Phycella_fulgens_P002_WG08,80,12,8,,,70,4,11,7,1,60,75,6,72,18,72,20,0,40,31,3,55,1,1
P45_Phycella_fulgens_P002_WH08,65,11,7,53,15,56,4,12,7,1,70,80,6,73,22,74,22,0,36,28,4,52,1,1
P46_Phycella_maulensis_P002_WB09,18,1,2,32,3.5,30,0.5,5,4,0,33,16,2,33,5,34,5,0,,,3,,0,0
P46_Phycella_maulensis_P002_WC09,11.5,1.5,2,35,3,30,0.5,5,4,0,41,12,2,37,4.5,37,4,0,,,3,45,0,0
P46_Phycella_maulensis_P002_WD09,30,2.5,3,37,4.5,30,0.5,5,2.5,0,40,13,1.5,39,4,40,4.5,0,,,2.5,43,0,0